Pretty Formula,A,B
ZnRh,Zn1+,Rh1-
ZnTe,Zn2+,Te2-
ZnI,Zn1+,I1-
ZnW,Zn1+,W1-
ZnW,Zn2+,W2-
ZnRe,Zn1+,Re1-
ZnOs,Zn1+,Os1-
ZnOs,Zn2+,Os2-
ZnIr,Zn1+,Ir1-
ZnPt,Zn1+,Pt1-
ZnPt,Zn2+,Pt2-
ZnAu,Zn1+,Au1-
TlZn,Zn1+,Tl1-
GaH,Ga1+,H1-
GaC,Ga1+,C1-
GaC,Ga2+,C2-
GaC,Ga3+,C3-
GaN,Ga1+,N1-
GaN,Ga2+,N2-
GaN,Ga3+,N3-
GaO,Ga1+,O1-
GaO,Ga2+,O2-
GaF,Ga1+,F1-
GaSi,Ga1+,Si1-
GaSi,Ga2+,Si2-
GaSi,Ga3+,Si3-
GaP,Ga1+,P1-
GaP,Ga2+,P2-
GaP,Ga3+,P3-
GaS,Ga1+,S1-
GaS,Ga2+,S2-
GaCl,Ga1+,Cl1-
GaFe,Ga1+,Fe1-
GaFe,Ga2+,Fe2-
